Count,Date,Time,Lat,Long,Speed,Altitude,GSR
0,25/5/2018,15:16:20,51.527184,-0.132175,6.13,0,207
1,25/5/2018,15:16:20,51.527184,-0.132175,6.13,50,209
2,25/5/2018,15:16:21,51.526745,-0.132286,3.65,50,210
3,25/5/2018,15:16:22,51.526665,-0.132329,4.67,50,211
4,25/5/2018,15:16:22,51.526665,-0.132329,4.67,76.7,216
5,25/5/2018,15:16:23,51.52663,-0.132356,3.57,76.7,212
6,25/5/2018,15:16:24,51.526627,-0.132352,3.19,76.7,213
7,25/5/2018,15:16:25,51.526642,-0.13232,2.52,76.7,214
8,25/5/2018,15:16:25,51.526642,-0.13232,2.52,72.2,216
9,25/5/2018,15:16:26,51.526669,-0.132282,2.19,72.2,215
10,25/5/2018,15:16:27,51.526684,-0.132246,5.5,72.2,215
11,25/5/2018,15:16:28,51.526684,-0.132225,3.3,72.2,215
12,25/5/2018,15:16:28,51.526684,-0.132225,3.3,55.8,218
13,25/5/2018,15:16:29,51.526703,-0.132186,2.94,55.8,215
14,25/5/2018,15:16:30,51.526722,-0.132153,3.28,55.8,214
15,25/5/2018,15:16:31,51.526714,-0.132167,5.06,55.8,213
16,25/5/2018,15:16:31,51.526714,-0.132167,5.06,43.2,217
17,25/5/2018,15:16:32,51.526711,-0.132175,2.76,43.2,215
18,25/5/2018,15:16:33,51.526711,-0.132187,2.43,43.2,215
19,25/5/2018,15:16:33,51.526711,-0.132187,2.43,41.9,219
20,25/5/2018,15:16:34,51.526726,-0.132176,2.61,41.9,216
21,25/5/2018,15:16:35,51.526711,-0.132193,3.5,41.9,216
22,25/5/2018,15:16:35,51.526711,-0.132193,3.5,38.8,219
23,25/5/2018,15:16:36,51.526684,-0.132227,4.7,38.8,216
24,25/5/2018,15:16:37,51.526669,-0.132246,5.69,38.8,213
25,25/5/2018,15:16:38,51.526657,-0.132257,6.04,38.8,211
26,25/5/2018,15:16:39,51.526646,-0.132273,5.74,38.8,214
27,25/5/2018,15:16:40,51.526638,-0.132284,3.98,38.8,213
28,25/5/2018,15:16:41,51.52663,-0.132294,2.07,38.8,211
29,25/5/2018,15:16:42,51.526619,-0.132308,4.46,38.8,211
30,25/5/2018,15:16:42,51.526619,-0.132308,4.46,41.5,216
31,25/5/2018,15:16:43,51.526615,-0.13232,3.87,41.5,214
32,25/5/2018,15:16:44,51.526611,-0.132335,4.15,41.5,214
33,25/5/2018,15:16:44,51.526611,-0.132335,4.15,41.3,218
34,25/5/2018,15:16:45,51.5266,-0.132346,6.19,41.3,216
35,25/5/2018,15:16:46,51.526604,-0.13236,4.59,41.3,214
36,25/5/2018,15:16:47,51.526608,-0.132377,3.83,41.3,213
37,25/5/2018,15:16:48,51.526604,-0.132403,4.57,41.3,212
38,25/5/2018,15:16:48,51.526604,-0.132403,4.57,41.1,217
