Count,Date,Time,Lat,Long,Speed,Altitude,GSR
0,25/5/2018,15:02:39,51.525818,-0.133244,2.56,0,520
1,25/5/2018,15:02:40,51.525848,-0.133266,6.2,0,447
2,25/5/2018,15:02:40,51.525848,-0.133266,6.2,51,449
3,25/5/2018,15:02:41,51.52581,-0.133125,3.87,51,446
4,25/5/2018,15:02:41,51.52581,-0.133125,3.87,59.2,447
5,25/5/2018,15:02:42,51.525806,-0.133111,5.39,59.2,447
6,25/5/2018,15:02:43,51.525795,-0.133009,6.02,59.2,448
7,25/5/2018,15:02:44,51.52581,-0.13286,4,59.2,451
8,25/5/2018,15:02:45,51.525784,-0.132841,4.8,59.2,451
9,25/5/2018,15:02:45,51.525784,-0.132841,4.8,65.5,450
10,25/5/2018,15:02:49,51.525715,-0.132852,3.2,65.5,454
11,25/5/2018,15:02:50,51.525703,-0.132825,2.44,65.5,454
12,25/5/2018,15:02:50,51.525703,-0.132825,2.44,68.2,453
13,25/5/2018,15:02:51,51.525719,-0.132763,2.43,68.2,453
14,25/5/2018,15:02:51,51.525719,-0.132763,2.43,69.8,447
15,25/5/2018,15:02:52,51.525688,-0.13276,2.24,69.8,451
16,25/5/2018,15:02:52,51.525688,-0.13276,2.24,70.9,451
17,25/5/2018,15:02:53,51.525688,-0.132798,2.2,70.9,454
18,25/5/2018,15:02:54,51.525677,-0.132801,0.61,70.9,454
19,25/5/2018,15:02:55,51.525673,-0.132777,7.83,70.9,457
20,25/5/2018,15:02:55,51.525673,-0.132777,7.83,73.5,455
21,25/5/2018,15:02:56,51.525658,-0.132772,1.26,73.5,453
22,25/5/2018,15:02:57,51.525631,-0.132746,1.57,73.5,453
23,25/5/2018,15:02:58,51.525635,-0.132741,2.91,73.5,455
24,25/5/2018,15:02:58,51.525635,-0.132741,2.91,74.8,454
25,25/5/2018,15:02:59,51.52562,-0.132737,2.54,74.8,455
26,25/5/2018,15:02:59,51.52562,-0.132737,2.54,75.5,454
27,25/5/2018,15:03:00,51.525616,-0.132742,2.15,75.5,453
28,25/5/2018,15:03:01,51.525616,-0.132737,1.44,75.5,457
29,25/5/2018,15:03:02,51.525608,-0.132736,2.63,75.5,457
30,25/5/2018,15:03:03,51.525608,-0.132726,0.74,75.5,457
31,25/5/2018,15:03:03,51.525608,-0.132726,0.74,76.8,457
32,25/5/2018,15:03:04,51.525604,-0.132734,1.93,76.8,456
33,25/5/2018,15:03:05,51.525616,-0.132743,4.67,76.8,457
34,25/5/2018,15:03:06,51.52562,-0.132746,2.3,76.8,458
35,25/5/2018,15:03:06,51.52562,-0.132746,2.3,78.9,456
36,25/5/2018,15:03:07,51.525616,-0.132747,0.17,78.9,457
37,25/5/2018,15:03:07,51.525616,-0.132747,0.17,79.2,457
38,25/5/2018,15:03:08,51.525608,-0.132743,2.09,79.2,456
39,25/5/2018,15:03:09,51.525612,-0.132731,0.46,79.2,459
40,25/5/2018,15:03:10,51.525612,-0.132732,1.78,79.2,461
41,25/5/2018,15:03:10,51.525612,-0.132732,1.78,81.4,459
42,25/5/2018,15:03:11,51.525608,-0.132734,3.15,81.4,458
43,25/5/2018,15:03:11,51.525608,-0.132734,3.15,82,458
44,25/5/2018,15:03:12,51.525593,-0.132744,2.87,82,457
45,25/5/2018,15:03:13,51.525589,-0.132748,1.69,82,458
46,25/5/2018,15:03:14,51.525581,-0.132746,2.19,82,461
47,25/5/2018,15:03:15,51.525578,-0.132744,0.8,82,461
48,25/5/2018,15:03:15,51.525578,-0.132744,0.8,82.3,462
49,25/5/2018,15:03:16,51.52557,-0.132729,2.57,82.3,460
50,25/5/2018,15:03:17,51.525574,-0.132702,1.96,82.3,462
51,25/5/2018,15:03:18,51.52557,-0.132658,3.43,82.3,463
52,25/5/2018,15:03:18,51.52557,-0.132658,3.43,81.3,461
53,25/5/2018,15:03:19,51.525574,-0.132639,2.15,81.3,462
54,25/5/2018,15:03:19,51.525574,-0.132639,2.15,81,461
55,25/5/2018,15:03:20,51.525589,-0.132624,2.67,81,462
56,25/5/2018,15:03:21,51.525589,-0.132609,0.2,81,464
57,25/5/2018,15:03:22,51.525581,-0.132607,0.76,81,465
58,25/5/2018,15:03:22,51.525581,-0.132607,0.76,81.8,463
59,25/5/2018,15:03:23,51.525566,-0.132569,2.09,81.8,464
60,25/5/2018,15:03:23,51.525566,-0.132569,2.09,80.4,464
61,25/5/2018,15:03:24,51.525562,-0.132568,0.43,80.4,462
62,25/5/2018,15:03:25,51.525551,-0.132566,0.57,80.4,464
63,25/5/2018,15:03:26,51.525528,-0.132563,1.43,80.4,464
64,25/5/2018,15:03:27,51.525497,-0.132572,2.32,80.4,467
65,25/5/2018,15:03:27,51.525497,-0.132572,2.32,81.2,466
66,25/5/2018,15:03:28,51.525482,-0.132576,2,81.2,466
67,25/5/2018,15:03:29,51.525475,-0.132577,1.54,81.2,467
68,25/5/2018,15:03:30,51.525459,-0.132578,2,81.2,469
69,25/5/2018,15:03:30,51.525459,-0.132578,2,81.4,467
70,25/5/2018,15:03:31,51.525444,-0.132565,2.24,81.4,469
71,25/5/2018,15:03:31,51.525444,-0.132565,2.24,80.7,467
72,25/5/2018,15:03:32,51.525436,-0.132558,1.17,80.7,468
73,25/5/2018,15:03:33,51.525421,-0.132548,1.26,80.7,469
74,25/5/2018,15:03:34,51.525406,-0.132539,1.81,80.7,471
75,25/5/2018,15:03:34,51.525406,-0.132539,1.81,79.4,470
76,25/5/2018,15:03:35,51.525398,-0.132535,1.43,79.4,470
77,25/5/2018,15:03:35,51.525398,-0.132535,1.43,79.3,471
78,25/5/2018,15:03:36,51.525394,-0.13252,1.81,79.3,469
79,25/5/2018,15:03:37,51.525383,-0.132511,1.54,79.3,471
80,25/5/2018,15:03:38,51.525372,-0.13251,1.54,79.3,474
81,25/5/2018,15:03:38,51.525372,-0.13251,1.54,79.4,472
82,25/5/2018,15:03:39,51.525356,-0.1325,2.35,79.4,473
83,25/5/2018,15:03:39,51.525356,-0.1325,2.35,78.9,471
84,25/5/2018,15:03:40,51.525349,-0.132496,1.74,78.9,472
85,25/5/2018,15:03:41,51.525333,-0.132492,1.7,78.9,474
86,25/5/2018,15:03:42,51.525311,-0.13249,1.57,78.9,476
87,25/5/2018,15:03:42,51.525311,-0.13249,1.57,80.2,475
88,25/5/2018,15:03:43,51.525299,-0.132483,1.89,80.2,475
89,25/5/2018,15:03:43,51.525299,-0.132483,1.89,80.5,474
90,25/5/2018,15:03:44,51.525291,-0.132476,1.85,80.5,474
91,25/5/2018,15:03:45,51.525272,-0.13247,2.13,80.5,474
92,25/5/2018,15:03:46,51.525265,-0.132461,1.69,80.5,476
93,25/5/2018,15:03:46,51.525265,-0.132461,1.69,79.8,474
94,25/5/2018,15:03:47,51.525253,-0.132452,1.48,79.8,475
95,25/5/2018,15:03:47,51.525253,-0.132452,1.48,79.2,473
96,25/5/2018,15:03:48,51.525242,-0.132448,0.72,79.2,473
97,25/5/2018,15:03:49,51.52523,-0.132442,1.54,79.2,473
98,25/5/2018,15:03:50,51.525208,-0.132425,2.94,79.2,475
99,25/5/2018,15:03:50,51.525208,-0.132425,2.94,78.9,473
100,25/5/2018,15:03:51,51.525204,-0.132414,2.06,78.9,473
101,25/5/2018,15:03:51,51.525204,-0.132414,2.06,78.7,473
