Count,Date,Time,Lat,Long,Speed,Altitude,GSR
0,0/0/2000,15:16:39,51.52483,-0.128695,0.3,0,283
1,0/0/2000,15:16:40,51.524826,-0.128694,0.35,0,284
2,0/0/2000,15:16:41,51.524826,-0.128693,0.35,0,284
3,0/0/2000,15:16:42,51.524826,-0.128695,0.39,0,284
4,0/0/2000,15:16:43,51.524826,-0.128699,0.78,0,285
5,0/0/2000,15:16:43,51.524826,-0.128699,0.78,7.5,285
6,25/5/2018,15:16:44,51.524826,-0.128703,1.46,7.5,284
7,25/5/2018,15:16:45,51.524826,-0.128711,1.22,7.5,285
8,25/5/2018,15:16:45,51.524826,-0.128711,1.22,12.5,285
9,25/5/2018,15:16:46,51.524826,-0.12872,1.17,12.5,284
10,25/5/2018,15:16:47,51.524818,-0.128727,1.06,12.5,285
11,25/5/2018,15:16:48,51.524811,-0.128739,0.67,12.5,285
12,25/5/2018,15:16:48,51.524811,-0.128739,0.67,19.7,284
13,25/5/2018,15:16:49,51.524807,-0.128751,0.67,19.7,283
14,25/5/2018,15:16:50,51.524803,-0.128759,0.69,19.7,283
15,25/5/2018,15:16:51,51.52478,-0.128776,0.52,19.7,283
16,25/5/2018,15:16:51,51.52478,-0.128776,0.52,26.8,283
17,25/5/2018,15:16:52,51.524773,-0.128787,0.65,26.8,282
18,25/5/2018,15:16:53,51.524765,-0.128795,0.65,26.8,283
19,25/5/2018,15:16:54,51.524761,-0.128803,0.56,26.8,283
20,25/5/2018,15:16:54,51.524761,-0.128803,0.56,31.9,282
21,25/5/2018,15:16:55,51.524761,-0.128811,0.54,31.9,282
22,25/5/2018,15:16:56,51.524765,-0.128819,0.54,31.9,282
23,25/5/2018,15:16:57,51.524761,-0.128823,0.54,31.9,282
24,25/5/2018,15:16:57,51.524761,-0.128823,0.54,36.1,282
25,25/5/2018,15:16:58,51.524761,-0.128827,0.59,36.1,282
26,25/5/2018,15:16:59,51.524765,-0.128831,0.59,36.1,282
27,25/5/2018,15:17:00,51.524769,-0.128836,0.5,36.1,282
28,25/5/2018,15:17:01,51.524769,-0.12884,0.44,36.1,282
29,25/5/2018,15:17:02,51.524776,-0.128844,0.56,36.1,283
30,25/5/2018,15:17:03,51.524788,-0.128848,0.33,36.1,284
31,25/5/2018,15:17:03,51.524788,-0.128848,0.33,43.2,284
32,25/5/2018,15:17:04,51.524792,-0.128852,0.5,43.2,283
